Depth	breadth\Structural Virality
28	10	15.3347
0	1	0.0000
1	1	1.0000
0	1	0.0000
1	1	1.0000
2	2	1.5000
0	1	0.0000
0	1	0.0000
3	1	1.6667
12	8	6.9951
2	1	1.3333
1	1	1.0000
1	1	1.0000
0	1	0.0000
3	2	1.8000
2	1	1.3333
0	1	0.0000
1	1	1.0000
1	1	1.0000
4	1	2.0000
3	3	2.1333
0	1	0.0000
0	1	0.0000
2	2	1.5000
1	1	1.0000
1	1	1.0000
2	1	1.3333
5	2	3.6667
1	1	1.0000
2	1	1.3333
0	1	0.0000
1	1	1.0000
0	1	0.0000
2	2	1.6667
2	1	1.3333
3	2	2.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
3	2	2.0000
10	3	4.5316
1	1	1.0000
0	1	0.0000
0	1	0.0000
2	1	1.3333
1	1	1.0000
2	2	1.8000
3	2	1.8000
3	3	2.4762
0	1	0.0000
1	1	1.0000
23	8	11.1096
0	1	0.0000
0	1	0.0000
3	2	2.0667
19	6	8.7556
0	1	0.0000
1	1	1.0000
3	2	2.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
6	5	3.2857
0	1	0.0000
3	2	2.3333
0	1	0.0000
15	13	8.0525
0	1	0.0000
0	1	0.0000
0	1	0.0000
